replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
2949,200,0.102,10.1185,40.9295916666667,31.4517333333333,18.6682833333333
2950,200,0.103,7.59511,51.589725,33.6281375,23.7925583333333
2953,200,0.104,8.01386,25.8604725,25.6651916666667,19.2800366666667
2954,200,0.105,9.26828,21.7693175,18.7164775,15.6741833333333
2955,200,0.106,7.7706,29.5479333333333,18.9111675,13.0891775
2956,200,0.107,8.00218,45.0371083333333,28.4597333333333,17.8622583333333
2957,200,0.108,6.88547,33.303675,30.9586833333333,21.2499833333333
2958,200,0.109,8.48741,35.8026666666667,27.8710166666667,17.4593666666667
2959,200,0.11,7.94444,31.7479833333333,27.4662833333333,21.3441916666667
2960,200,0.111,11.0468,35.6263583333333,28.0234333333333,18.5169916666667
2961,200,0.112,8.83334,25.209385,18.8860925,15.5819441666667
2962,200,0.113,7.94039,39.8289916666667,32.7179416666667,20.2502333333333
2963,200,0.114,7.47079,21.5595425,17.6533858333333,9.58488916666666
2966,200,0.115,11.6945,56.79825,38.8772666666667,22.7903166666667
2967,200,0.116,10.2525,19.2889583333333,15.7998025,12.490855
2970,200,0.117,14.4185,44.4716833333333,31.9581666666667,17.2626675
2971,200,0.118,7.57159,39.2472166666667,27.4038416666667,21.301925
2965,200,0.119,10.4762,37.882425,27.7916333333333,17.5587083333333
2964,200,0.12,10.5699,30.9511666666667,23.2230583333333,18.966135
2968,200,0.121,14.939,40.093975,28.84615,20.029075
2969,200,0.122,12.0421,32.49695,21.6103591666667,16.341375
2972,200,0.123,8.55383,38.086575,26.5616583333333,18.6056416666667
2977,200,0.124,12.8502,44.3788,27.4178,19.7799333333333
2978,200,0.125,12.8948,26.4325858333333,21.917655,16.7183558333333
2973,200,0.126,12.0186,51.0855333333333,39.7192,21.7303583333333
2974,200,0.127,10.2871,26.6304416666667,12.5827333333333,14.3415808333333
2975,200,0.128,13.7106,40.31755,27.8274666666667,19.6715916666667
2976,200,0.129,10.3871,35.4983625,20.8854858333333,17.523725
2980,200,0.13,12.6594,37.223725,26.9634333333333,19.3777666666667
2983,200,0.131,11.549,38.088775,27.5428,16.6568508333333
2982,200,0.132,11.0487,39.00765,31.7773833333333,20.1112083333333
2984,200,0.133,7.07207,24.673375,23.0722333333333,15.72954
2985,200,0.134,8.90865,40.86805,31.9248166666667,20.8951583333333
2979,200,0.135,7.97659,35.3837166666667,26.3785,20.9066583333333
2981,200,0.136,12.388,45.7256583333333,37.2088083333333,20.719225
2986,200,0.137,8.35604,30.3262166666667,20.6624416666667,16.133075
2987,200,0.138,10.758,28.82525,23.5565,16.39565
2988,200,0.139,13.182,45.1382,42.9605166666667,22.4811333333333
2989,200,0.14,9.36511,34.4696916666667,36.5151416666667,21.7234216666667
2990,200,0.141,9.78011,37.0064125,27.31588,17.1669858333333
2991,200,0.142,9.33758,31.367525,25.4015666666667,19.89345
2992,200,0.143,12.6501,33.5191,25.1709708333333,15.5553583333333
2993,200,0.144,11.5573,44.148975,35.4076166666667,22.8052166666667
2994,200,0.145,12.5381,46.361725,34.5991833333333,24.0599416666667
2996,200,0.146,13.059,36.2179433333333,20.2628966666667,15.3094641666667
2998,200,0.147,15.2985,52.232775,36.1730583333333,23.05285
3000,200,0.148,16.3445,45.9083083333333,37.3872,21.4822416666667
3001,200,0.149,9.3011,18.2533716666667,17.3200608333333,15.5540825
1417,200,0.15,9.28653,40.8345666666667,28.9371425,21.412725
2995,200,0.15,13.1831,41.0741333333333,32.5829083333333,22.712825
2997,200,0.151,13.1498,31.8570266666667,24.03664,18.0135783333333
2999,200,0.152,12.0177,41.2581583333333,26.9557,20.3839416666667
3002,200,0.153,11.4655,41.6367166666667,27.3880083333333,21.1502
3003,200,0.154,12.6214,32.8352666666667,22.6737166666667,18.7267666666667
3004,200,0.155,16.599,36.9853,32.5973833333333,18.527925
3005,200,0.156,8.63353,33.289075,27.964375,20.5713083333333
3006,200,0.157,18.3418,47.997725,38.2034416666667,21.4942166666667
