replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
8189,797,0.084,7.03807,25.2611916666667,18.3373583333333,14.0887333333333
8165,797,0.059,4.84609,21.982125,18.4874583333333,12.1797166666667
8181,797,0.073,5.17282,23.4752,18.7102166666667,13.76355
8178,797,0.076,5.84783,24.1318666666667,19.3524166666667,14.7325333333333
8224,797,0.118,8.19951,28.550875,19.4033166666667,16.4435166666667
8194,797,0.089,6.55967,27.890725,19.7538725,16.7675083333333
8183,797,0.077,5.43409,28.074475,19.795175,15.25885
8168,797,0.062,3.98358,27.0394583333333,19.9194416666667,15.89105
8201,797,0.096,6.93206,23.4323916666667,20.0380333333333,15.4752333333333
8167,797,0.061,3.9215,27.1196166666667,20.0418916666667,14.9708725
8212,797,0.107,10.2723,31.3934166666667,20.0462416666667,15.7103416666667
8169,797,0.063,5.57844,28.449125,20.0692833333333,15.1315166666667
8156,797,0.05,4.25702,29.0156666666667,20.1171333333333,13.472825
8163,797,0.056,2.74301,23.8220833333333,20.16765,15.4346525
8174,797,0.065,4.99355,23.9709916666667,20.23415,14.539575
8198,797,0.093,7.03263,24.85515,20.2610166666667,14.7374583333333
8173,797,0.066,5.57101,23.1585,20.4855666666667,13.0487833333333
8206,797,0.1,6.53956,27.258925,20.7354583333333,15.4691083333333
8164,797,0.058,3.59115,29.1974666666667,20.7620583333333,15.7955166666667
8190,797,0.082,7.14449,22.7269833333333,20.7988916666667,16.015325
8200,797,0.064,4.81618,26.4834916666667,20.946575,15.2312916666667
8161,797,0.057,4.35063,27.8853416666667,21.2945333333333,13.9563083333333
8154,797,0.047,2.52167,28.8544166666667,21.5260166666667,15.5581166666667
8208,797,0.102,8.44799,29.5834333333333,22.0662416666667,16.6591
8177,797,0.075,5.32868,26.97135,22.1574916666667,15.9334166666667
8182,797,0.08,4.24097,29.2651333333333,22.225825,16.3491083333333
8186,797,0.085,6.402,32.0004833333333,22.2321416666667,16.4169166666667
8180,797,0.074,6.35271,28.3301916666667,22.3723333333333,14.3251416666667
8199,797,0.094,6.55375,28.7318583333333,22.455625,16.39635
8232,797,0.121,9.18279,29.4512333333333,22.5046666666667,18.6847333333333
8207,797,0.101,8.42545,31.9573583333333,22.518125,15.7257166666667
8187,797,0.081,5.20054,32.474,22.6685916666667,17.3195416666667
8216,797,0.109,7.97354,26.7076583333333,22.7387916666667,16.9567508333333
8184,797,0.078,4.99705,29.4298416666667,22.8273083333333,18.197325
8204,797,0.098,10.1513,33.508325,22.9297666666667,15.5888
8188,797,0.083,5.02239,30.649875,23.1290833333333,18.734875
8217,797,0.111,9.69282,33.6894083333333,23.141175,18.2883
8218,797,0.112,8.07689,31.0712333333333,23.3220416666667,16.5300666666667
8191,797,0.087,7.85041,32.74575,23.414525,15.6033916666667
8179,797,0.072,6.84261,33.8485166666667,23.57795,16.032775
8202,797,0.097,7.65341,27.6959666666667,23.8515166666667,18.4534916666667
8193,797,0.086,5.57387,28.4557083333333,24.2473333333333,18.053225
8250,797,0.141,12.1219,33.823025,24.2880333333333,15.9059583333333
8195,797,0.09,6.68259,32.9030416666667,24.3240083333333,16.5815333333333
8244,797,0.142,10.5605,28.956275,24.3271416666667,18.3606083333333
8213,797,0.103,6.97304,28.2351166666667,24.5123833333333,16.5051583333333
8192,797,0.088,7.87536,35.2211,24.6730833333333,18.2097916666667
8220,797,0.115,9.42156,28.8102083333333,24.9456666666667,18.3554333333333
8235,797,0.13,9.19878,33.866325,24.9867416666667,19.6033166666667
8299,797,0.193,17.5281,39.050025,25.3476083333333,19.5897583333333
8337,797,0.231,21.301,35.9248916666667,25.4329,19.75595
8221,797,0.113,9.55777,39.0396166666667,25.4805166666667,19.7863166666667
8203,797,0.095,7.05765,34.4181166666667,25.5280333333333,18.4633583333333
8229,797,0.125,9.80642,33.1211666666667,25.5712583333333,17.6204666666667
8215,797,0.108,9.22382,34.4479833333333,25.5803,17.9121833333333
8222,797,0.116,11.1043,37.826725,25.677925,18.1304916666667
8255,797,0.149,12.2567,36.4413583333333,25.9400166666667,16.7238333333333
8280,797,0.174,12.4527,40.3012916666667,26.2146166666667,19.6991416666667
8209,797,0.104,6.41841,37.1904583333333,26.278975,18.8605333333333
8254,797,0.148,14.2064,32.9804166666667,26.331575,20.1072416666667
8196,797,0.091,8.07249,32.9865666666667,26.4165583333333,17.315675
8230,797,0.126,10.4715,38.97475,26.6546333333333,19.055275
8301,797,0.197,14.7687,35.8173833333333,26.6781916666667,19.9227916666667
8237,797,0.134,12.2746,40.037975,26.8157583333333,20.0211083333333
8242,797,0.132,11.0393,32.4935416666667,27.0089916666667,18.2783916666667
8261,797,0.157,12.4434,34.5114166666667,27.094325,17.320525
8185,797,0.079,6.9934,34.0628166666667,27.117175,17.1059166666667
8211,797,0.106,8.52092,34.82805,27.1333916666667,17.9506833333333
8227,797,0.123,9.51671,32.1153666666667,27.1484916666667,19.18945
8252,797,0.145,11.9661,41.4163083333333,27.4362166666667,19.8043333333333
8231,797,0.12,10.6248,32.794725,27.5016083333333,17.8462666666667
8259,797,0.153,10.3297,39.5116666666667,27.57485,20.3153
8239,797,0.131,9.77509,42.9167333333333,27.5805,21.38285
8245,797,0.138,9.52343,37.2147416666667,27.6216333333333,19.1394666666667
8247,797,0.143,12.3684,37.4750916666667,27.698925,20.4647333333333
8253,797,0.147,13.6656,38.3068666666667,27.8282416666667,19.6298166666667
8313,797,0.207,14.9141,43.0338833333333,27.9846416666667,21.7138
8265,797,0.16,13.6304,39.3383333333333,27.9924083333333,20.8784666666667
8284,797,0.176,16.1032,39.4403083333333,28.1044166666667,19.8486416666667
8240,797,0.136,11.2527,40.679125,28.1869166666667,20.0843333333333
8233,797,0.128,10.2473,38.534225,28.4853416666667,20.4306666666667
8236,797,0.127,11.2008,41.1123416666667,28.5271833333333,18.315575
