rho,source,destination,count
0.2,10,38,1975
0.2,10,39,2091
0.2,10,40,1115
0.2,10,41,1758
0.2,10,42,784
0.2,10,43,463
0.2,10,44,405
0.2,10,45,245
0.2,11,1,208
0.2,11,2,345
0.2,11,3,209
0.2,11,4,459
0.2,11,5,375
0.2,11,6,431
0.2,11,7,113
0.2,11,8,465
0.2,11,9,277
0.2,11,10,2553
0.2,11,11,12159
0.2,11,12,1616
0.2,11,13,2014
0.2,11,14,653
0.2,11,15,1039
0.2,11,16,195
0.2,11,17,465
0.2,11,18,186
0.2,11,19,414
0.2,11,20,158
0.2,11,21,506
0.2,11,22,535
0.2,11,23,354
0.2,11,24,1184
0.2,11,25,1383
0.2,11,26,197
0.2,11,27,94
0.2,11,28,467
0.2,11,29,85
0.2,11,30,317
0.2,11,31,170
0.2,11,32,514
0.2,11,33,413
0.2,11,34,1909
0.2,11,35,1845
0.2,11,36,1889
0.2,11,37,2266
0.2,11,38,839
0.2,11,39,807
0.2,11,40,635
0.2,11,41,918
0.2,11,42,502
0.2,11,43,360
0.2,11,44,329
0.2,11,45,220
0.2,12,1,73
0.2,12,2,113
0.2,12,3,60
0.2,12,4,125
0.2,12,5,103
0.2,12,6,131
0.2,12,7,40
0.2,12,8,146
0.2,12,9,77
0.2,12,10,1266
0.2,12,11,1657
0.2,12,12,2112
0.2,12,13,310
0.2,12,14,124
0.2,12,15,233
0.2,12,16,53
0.2,12,17,159
0.2,12,18,68
0.2,12,19,122
0.2,12,20,58
0.2,12,21,138
0.2,12,22,122
0.2,12,23,115
0.2,12,24,450
0.2,12,25,498
0.2,12,26,74
0.2,12,27,29
0.2,12,28,126
0.2,12,29,31
0.2,12,30,100
0.2,12,31,49
0.2,12,32,163
0.2,12,33,97
0.2,12,34,320
0.2,12,35,269
0.2,12,36,357
0.2,12,37,828
0.2,12,38,792
0.2,12,39,418
0.2,12,40,324
0.2,12,41,329
0.2,12,42,158
0.2,12,43,124
0.2,12,44,101
0.2,12,45,61
0.2,13,1,198
0.2,13,2,353
0.2,13,3,200
0.2,13,4,639
0.2,13,5,448
0.2,13,6,462
0.2,13,7,95
0.2,13,8,450
0.2,13,9,250
0.2,13,10,2735
0.2,13,11,3175
0.2,13,12,508
0.2,13,13,8823
0.2,13,14,1199
0.2,13,15,3298
0.2,13,16,274
0.2,13,17,723
0.2,13,18,185
0.2,13,19,456
0.2,13,20,202
0.2,13,21,737
0.2,13,22,689
0.2,13,23,371
0.2,13,24,1924
0.2,13,25,1893
0.2,13,26,157
0.2,13,27,75
0.2,13,28,385
0.2,13,29,56
0.2,13,30,306
0.2,13,31,156
0.2,13,32,583
0.2,13,33,406
0.2,13,34,3050
0.2,13,35,964
0.2,13,36,657
0.2,13,37,593
0.2,13,38,439
0.2,13,39,761
0.2,13,40,432
0.2,13,41,883
0.2,13,42,568
0.2,13,43,344
0.2,13,44,276
0.2,13,45,192
0.2,14,1,2521
0.2,14,2,5237
0.2,14,3,3181
0.2,14,4,22827
0.2,14,5,9441
0.2,14,6,7422
0.2,14,7,1068
0.2,14,8,6494
0.2,14,9,3517
0.2,14,10,7868
0.2,14,11,6775
0.2,14,12,1425
0.2,14,13,8576
0.2,14,14,49217
0.2,14,15,10487
0.2,14,16,15030
0.2,14,17,24074
0.2,14,18,2099
0.2,14,19,9665
0.2,14,20,4454
0.2,14,21,20179
0.2,14,22,4852
0.2,14,23,4978
0.2,14,24,7117
0.2,14,25,22257
0.2,14,26,1584
0.2,14,27,775
0.2,14,28,4448
0.2,14,29,805
0.2,14,30,3116
0.2,14,31,1717
0.2,14,32,8827
0.2,14,33,2938
0.2,14,34,8660
0.2,14,35,2564
0.2,14,36,2534
0.2,14,37,2049
0.2,14,38,1691
0.2,14,39,4405
0.2,14,40,2854
0.2,14,41,8548
0.2,14,42,9644
0.2,14,43,5037
0.2,14,44,3718
0.2,14,45,2078
0.2,15,1,256
0.2,15,2,416
0.2,15,3,230
0.2,15,4,765
0.2,15,5,524
0.2,15,6,637
0.2,15,7,123
0.2,15,8,449
0.2,15,9,306
0.2,15,10,1634
0.2,15,11,1572
0.2,15,12,430
0.2,15,13,2409
0.2,15,14,1387
0.2,15,15,5789
0.2,15,16,308
0.2,15,17,1327
0.2,15,18,198
0.2,15,19,558
0.2,15,20,190
0.2,15,21,1372
0.2,15,22,1097
0.2,15,23,459
0.2,15,24,1764
0.2,15,25,2285
0.2,15,26,189
0.2,15,27,85
0.2,15,28,460
0.2,15,29,75
0.2,15,30,295
0.2,15,31,175
0.2,15,32,740
0.2,15,33,521
0.2,15,34,2292
0.2,15,35,646
0.2,15,36,489
0.2,15,37,545
0.2,15,38,393
0.2,15,39,575
0.2,15,40,432
0.2,15,41,872
0.2,15,42,619
0.2,15,43,368
0.2,15,44,326
0.2,15,45,199
0.2,16,1,138
0.2,16,2,272
0.2,16,3,204
0.2,16,4,1369
0.2,16,5,487
0.2,16,6,308
0.2,16,7,59
0.2,16,8,234
0.2,16,9,151
0.2,16,10,263
0.2,16,11,223
0.2,16,12,64
0.2,16,13,171
0.2,16,14,1255
0.2,16,15,253
0.2,16,16,1200
0.2,16,17,664
0.2,16,18,136
0.2,16,19,928
0.2,16,20,213
0.2,16,21,428
0.2,16,22,136
0.2,16,23,345
0.2,16,24,290
0.2,16,25,756
0.2,16,26,96
0.2,16,27,31
0.2,16,28,197
0.2,16,29,28
0.2,16,30,135
0.2,16,31,77
0.2,16,32,306
0.2,16,33,101
0.2,16,34,194
0.2,16,35,90
0.2,16,36,88
0.2,16,37,117
0.2,16,38,67
0.2,16,39,172
0.2,16,40,166
0.2,16,41,400
0.2,16,42,512
0.2,16,43,346
0.2,16,44,176
0.2,16,45,98
0.2,17,1,210
0.2,17,2,350
0.2,17,3,250
0.2,17,4,913
0.2,17,5,506
